name,max_temp,min_temp
artemisia campestris ssp. borealis var. scouleriana,80,60
artemisia campestris ssp. borealis var. wormskioldii,68.3,28.3
artemisia campestris ssp. caudata,80,60
artemisia cana,80,60
artemisia cana ssp. bolanderi,68.4,28.4
artemisia cana ssp. cana,80,60
artemisia cana ssp. viscidula,62,22
artemisia carruthii,68.6,28.6
artemisia douglasiana,68.3,28.3
artemisia dracunculus,80,60
artemisia filifolia,62,22
artemisia franserioides,73.4,33.4
artemisia frigida,80,60
artemisia furcata,80,60
artemisia furcata var. furcata,80,60
artemisia furcata var. heterophylla,80,60
artemisia globularia,80,60
artemisia glomerata,80,60
artemisia glomerata var. glomerata,80,60
artemisia glomerata var. subglabrata,46.6,6.6
artemisia gmelinii,70.7,30.7
artemisia kauaiensis,90,50
artemisia laciniata,80,60
artemisia lindleyana,68.3,28.3
artemisia longifolia,80,60
artemisia ludoviciana,80,60
artemisia ludoviciana ssp. albula,68.6,28.6
artemisia ludoviciana ssp. candicans,80,60
artemisia ludoviciana ssp. estesii,68.4,28.4
artemisia ludoviciana ssp. incompta,80,60
artemisia ludoviciana ssp. ludoviciana,80,60
artemisia ludoviciana ssp. mexicana,68.6,28.6
artemisia ludoviciana ssp. redolens,84.8,44.8
artemisia ludoviciana ssp. sulcata,73.4,33.4
artemisia macrobotrys,46.6,6.6
artemisia mauiensis,90,50
artemisia michauxiana,80,60
artemisia nesiotica,79.4,39.4
artemisia nova,62,22
artemisia packardiae,68.4,28.4
artemisia palmeri,79.4,39.4
artemisia papposa,68.4,28.4
artemisia parryi,73.4,33.4
artemisia pattersonii,62,22
artemisia pedatifida,62,22
artemisia pontica,80,60
artemisia porteri,62,22
artemisia pycnocephala,68.4,28.4
artemisia pygmaea,68.6,28.6
artemisia rigida,68.3,28.3
artemisia rothrockii,79.4,39.4
artemisia rupestris,80,60
artemisia scoparia,74.2,34.2
artemisia scopulorum,62,22
artemisia senjavinensis,46.6,6.6
artemisia serrata,63.1,23.1
artemisia stelleriana,80,60
artemisia suksdorfii,80,60
artemisia tilesii,80,60
artemisia tilesii ssp. elatior,80,60
artemisia tilesii ssp. gormanii,46.6,6.6
artemisia tilesii ssp. tilesii,80,60
artemisia tilesii ssp. unalaschcensis,46.6,6.6
artemisia tridentata,80,60
artemisia tridentata ssp. parishii,79.4,39.4
artemisia tridentata ssp. spiciformis,62,22
artemisia tridentata ssp. tridentata,80,60
artemisia tridentata ssp. vaseyana,80,60
artemisia tridentata ssp. wyomingensis,62,22
artemisia tridentata ssp. xericensis,64.4,24.4
artemisia tripartita,80,60
artemisia tripartita ssp. rupicola,62,22
artemisia tripartita ssp. tripartita,80,60
artemisia umbelliformis,65.4,25.4
artemisia vulgaris,80,60
artemisia vulgaris var. kamtschatica,46.6,6.6
artemisia vulgaris var. vulgaris,80,60
arthraxon,80,60
arthraxon castratus,80,60
arthraxon hispidus,71.8,31.8
arthrocnemum,79.4,39.4
arthrocnemum subterminale,79.4,39.4
arthrostemma,80,60
arthrostemma ciliatum,90,50
arthrostemma fragile,80,60
arthrostylidium,80,60
arthrostylidium farctum,80,60
arthrostylidium multispicatum,80,60
arthrostylidium sarmentosum,80,60
artocarpus,80,60
artocarpus altilis,80,60
artocarpus heterophyllus,80,60
arum,68.3,28.3
arum italicum,68.3,28.3
arum palestinum,79.4,39.4
aruncus,80,60
aruncus dioicus,80,60
aruncus dioicus var. acuminatus,80,60
aruncus dioicus var. dioicus,80,60
aruncus dioicus var. pubescens,71.8,31.8
aruncus dioicus var. vulgaris,65.4,25.4
arundina,80,60
arundina graminifolia,80,60
arundinaria,71.8,31.8
arundinaria gigantea,71.8,31.8
arundinaria gigantea ssp. gigantea,71.8,31.8
arundinaria gigantea ssp. tecta,75.1,35.1
arundinella,80,60
arundinella hispida,80,60
arundo,80,60
arundo donax,80,60
asanthus,73.4,33.4
asanthus squamulosus,73.4,33.4
asarum,80,60
asarum canadense,80,60
asarum caudatum,80,60
asarum hartwegii,79.4,39.4
asarum lemmonii,79.4,39.4
asarum marmoratum,68.4,28.4
asarum wagneri,68.4,28.4
asclepias,80,60
asclepias albicans,79.4,39.4
asclepias amplexicaulis,63.1,23.1
asclepias angustifolia,80.3,40.3
asclepias arenaria,62,22
asclepias asperula,68.6,28.6
asclepias asperula ssp. asperula,68.6,28.6
asclepias asperula ssp. capricornu,84.8,44.8
asclepias brachystephana,84.8,44.8
asclepias californica,79.4,39.4
asclepias californica ssp. californica,79.4,39.4
asclepias californica ssp. greenei,79.4,39.4
asclepias cinerea,82.4,42.4
asclepias connivens,82.4,42.4
asclepias cordifolia,68.4,28.4
asclepias cryptoceras,62,22
asclepias cryptoceras ssp. cryptoceras,62,22
asclepias cryptoceras ssp. davisii,62,22
asclepias curassavica,80,60
asclepias curtissii,90.7,50.7
asclepias cutleri,68.6,28.6
asclepias emoryi,84.8,44.8
asclepias engelmanniana,62,22
asclepias eriocarpa,79.4,39.4
asclepias erosa,68.6,28.6
asclepias exaltata,80,60
asclepias fascicularis,68.3,28.3
asclepias feayi,90.7,50.7
asclepias fruticosa,79.4,39.4
asclepias glaucescens,84.8,44.8
asclepias hallii,62,22
asclepias hirtella,80,60
asclepias humistrata,82.4,42.4
asclepias hypoleuca,73.4,33.4
asclepias incarnata,80,60
asclepias incarnata ssp. incarnata,80,60
asclepias incarnata ssp. pulchra,71.8,31.8
asclepias involucrata,68.6,28.6
asclepias labriformis,68.6,28.6
asclepias lanceolata,75.1,35.1
asclepias lanuginosa,80,60
asclepias latifolia,68.6,28.6
asclepias lemmonii,80.3,40.3
asclepias linaria,73.4,33.4
asclepias linearis,84.8,44.8
asclepias longifolia,71.8,31.8
asclepias macrotis,84.8,44.8
asclepias meadii,63.1,23.1
asclepias michauxii,82.4,42.4
asclepias nivea,80,60
asclepias nummularia,84.8,44.8
asclepias nyctaginifolia,73.4,33.4
asclepias obovata,84.8,44.8
asclepias oenotheroides,84.8,44.8
asclepias ovalifolia,80,60
asclepias pedicellata,82.4,42.4
asclepias perennis,84.8,44.8
asclepias physocarpa,90,50
asclepias prostrata,84.8,44.8
asclepias pumila,62,22
asclepias purpurascens,80,60
asclepias quadrifolia,80,60
asclepias quinquedentata,84.8,44.8
asclepias rubra,75.1,35.1
asclepias rusbyi,68.6,28.6
asclepias scaposa,84.8,44.8
asclepias solanoana,79.4,39.4
asclepias speciosa,80,60
asclepias sperryi,84.8,44.8
asclepias stenophylla,62,22
asclepias subulata,69.9,29.9
asclepias subverticillata,62,22
asclepias sullivantii,80,60
asclepias syriaca,80,60
asclepias texana,84.8,44.8
asclepias tomentosa,84.8,44.8
asclepias tuberosa,80,60
asclepias tuberosa ssp. interior,80,60
asclepias tuberosa ssp. rolfsii,82.4,42.4
asclepias tuberosa ssp. tuberosa,71.8,31.8
asclepias uncialis,62,22
asclepias uncialis ssp. ruthiae,68.6,28.6
asclepias uncialis ssp. uncialis,62,22
asclepias variegata,80,60
asclepias verticillata,80,60
asclepias vestita,79.4,39.4
asclepias vestita ssp. parishii,79.4,39.4
asclepias vestita ssp. vestita,79.4,39.4
asclepias viridiflora,80,60
asclepias viridis,71.8,31.8
asclepias viridula,83.5,43.5
asclepias welshii,68.6,28.6
asimina,80,60
asimina angustifolia,83.5,43.5
asimina incana,83.5,43.5
asimina ×nashii,83.5,43.5
asimina obovata,90.7,50.7
asimina parviflora,75.1,35.1
asimina pygmea,83.5,43.5
asimina reticulata,83.5,43.5
asimina tetramera,90.7,50.7
asimina triloba,80,60
asparagus,80,60
asparagus asparagoides,79.4,39.4
asparagus densiflorus,90,50
asparagus officinalis,80,60
asparagus setaceus,80,60
asperugo,80,60
asperugo procumbens,80,60
asperula,80,60
asperula arvensis,80,60
asperula orientalis,68.4,28.4
asphodelus,84.8,44.8
asphodelus fistulosus,84.8,44.8
aspicarpa,84.8,44.8
aspicarpa hirtella,73.4,33.4
aspicarpa hyssopifolia,84.8,44.8
aspicarpa longipes,84.8,44.8
aspidotis,80,60
aspidotis californica,79.4,39.4
aspidotis carlotta-halliae,79.4,39.4
aspidotis densa,80,60
asplenium,80,60
asplenium abscissum,80,60
asplenium acuminatum,90,50
asplenium adiantum-nigrum,68.6,28.6
asplenium adulterinum,80,60
asplenium aethiopicum,90,50
asplenium ×alternifolium,71.8,31.8
asplenium auriculatum,80,60
asplenium ×biscaynianum,90.7,50.7
asplenium ×boydstoniae,82.8,42.8
asplenium bradleyi,71.8,31.8
asplenium cirrhatum,80,60
asplenium ×clermontiae,62.9,22.9
asplenium contiguum,90,50
asplenium contiguum var. contiguum,90,50
asplenium contiguum var. hirtulum,90,50
asplenium cookii,90,50
asplenium corderoanum,80,60
asplenium cristatum,80,60
asplenium cuneatum,80,60
asplenium ×curtissii,90.7,50.7
asplenium dalhousiae,80.3,40.3
asplenium ×ebenoides,71.8,31.8
asplenium erosum,80,60
asplenium exiguum,80.3,40.3
asplenium feei,80,60
asplenium flabellulatum,80,60
asplenium ×flagrum,90,50
asplenium formosum,80,60
asplenium ×gravesii,71.8,31.8
asplenium haleakalense,90,50
asplenium ×herb-wagneri,71.7,31.7
asplenium heterochroum,80,60
asplenium ×heteroresiliens,82.4,42.4
asplenium hobdyi,90,50
asplenium horridum,90,50
asplenium ×inexpectatum,70.7,30.7
asplenium insiticium,90,50
asplenium juglandifolium,80,60
asplenium kaulfussii,90,50
asplenium ×kentuckiense,71.8,31.8
asplenium ×kokeense,90,50
asplenium laetum,80,60
asplenium lobulatum,90,50
asplenium macraei,90,50
asplenium monanthes,82.4,42.4
asplenium montanum,71.8,31.8
asplenium ×morganii,74.2,34.2
asplenium neobrackenridgei,90,50
asplenium nidus,90,50
asplenium normale,90,50
asplenium obtusifolium,80,60
asplenium ocoense,80,60
asplenium palmeri,84.8,44.8
asplenium patens,90,50
asplenium pinnatifidum,63.1,23.1
asplenium platyneuron,80,60
asplenium platyneuron var. bacculum-rubrum,71.8,31.8
asplenium platyneuron var. platyneuron,80,60
asplenium plenum,90.7,50.7
asplenium polyodon,90,50
asplenium polyodon var. knudsenii,90,50
asplenium polyodon var. nitidulum,90,50
asplenium polyodon var. sectum,90,50
asplenium polyodon var. subcaudatum,90,50
asplenium pseudoerectum,80,60
asplenium pteropus,80,60
asplenium pumilum,80,60
asplenium radicans,80,60
asplenium resiliens,71.8,31.8
asplenium rhizophyllum,80,60
asplenium rhomboidale,80,60
asplenium rhomboideum,90,50
asplenium ruta-muraria,80,60
asplenium ruta-muraria var. cryptolepis,80,60
asplenium ruta-muraria var. lanceolum,71.8,31.8
asplenium rutaceum,80,60
asplenium salicifolium,80,60
asplenium schizophyllum,90,50
asplenium scolopendrium,80,60
asplenium scolopendrium var. americanum,80,60
asplenium septentrionale,62,22
asplenium serra,80,60
asplenium serratum,80,60
asplenium sessilifolium,80,60
asplenium ×shawneense,71.8,31.8
asplenium ×sphenocookii,90,50
asplenium trichomanes,80,60
asplenium trichomanes ssp. densum,90,50
asplenium trichomanes ssp. quadrivalens,80,60
asplenium trichomanes ssp. trichomanes,80,60
asplenium trichomanes-dentatum,80,60
asplenium trichomanes-ramosum,80,60
asplenium ×trudellii,71.8,31.8
asplenium unilaterale,90,50
asplenium uniseriale,80,60
asplenium varians,90,50
asplenium verecundum,80,60
asplenium vespertinum,79.4,39.4
asplenium ×virginicum,75.1,35.1
asplenium ×waikomoi,90,50
asplenium ×wherryi,75.1,35.1
astelia,90,50
astelia argyrocoma,90,50
astelia menziesiana,90,50
astelia waialealae,90,50
aster,80,60
aster alpinus,80,60
aster alpinus var. vierhapperi,80,60
aster tataricus,71.8,31.8
astilbe,71.8,31.8
astilbe biternata,71.8,31.8
astilbe crenatiloba,77.6,37.6
astilbe japonica,70.1,30.1
astragalus,80,60
astragalus accidens,68.4,28.4
astragalus accidens var. accidens,68.4,28.4
astragalus accidens var. hendersonii,68.4,28.4
astragalus accumbens,73.4,33.4
astragalus ackermanii,69.9,29.9
astragalus acutirostris,69.9,29.9
astragalus adanus,68.6,28.6
astragalus aequalis,69.9,29.9
astragalus agnicidus,79.4,39.4
astragalus agrestis,80,60
astragalus albens,79.4,39.4
astragalus albulus,84.8,44.8
astragalus allochrous,84.8,44.8
astragalus allochrous var. allochrous,84.8,44.8
astragalus allochrous var. playanus,84.8,44.8
astragalus alpinus,80,60
astragalus alpinus var. alpinus,80,60
astragalus alpinus var. brunetianus,80,60
astragalus altus,73.4,33.4
astragalus alvordensis,68.4,28.4
astragalus amblytropis,64.4,24.4
astragalus americanus,80,60
astragalus amnis-amissi,64.4,24.4
astragalus amphioxys,68.6,28.6
astragalus amphioxys var. amphioxys,68.6,28.6
astragalus amphioxys var. modestus,68.6,28.6
astragalus amphioxys var. musimonum,69.9,29.9
astragalus amphioxys var. vespertinus,68.6,28.6
astragalus ampullarius,68.6,28.6
astragalus andersonii,69.9,29.9
astragalus anisus,65.1,25.1
astragalus anserinus,68.6,28.6
astragalus anxius,79.4,39.4
astragalus applegatei,68.4,28.4
astragalus aquilonius,64.4,24.4
astragalus aretioides,62,22
astragalus argophyllus,62,22
astragalus argophyllus var. argophyllus,62,22
astragalus argophyllus var. martinii,62,22
astragalus argophyllus var. panguicensis,68.6,28.6
astragalus argophyllus var. stocksii,68.6,28.6
astragalus aridus,79.4,39.4
astragalus arizonicus,73.4,33.4
astragalus arrectus,68.3,28.3
astragalus arthurii,68.3,28.3
astragalus asclepiadoides,68.6,28.6
astragalus asymmetricus,79.4,39.4
astragalus atratus,68.4,28.4
astragalus atratus var. atratus,69.9,29.9
astragalus atratus var. inseptus,64.4,24.4
astragalus atratus var. mensanus,69.9,29.9
astragalus atratus var. owyheensis,68.4,28.4
astragalus atropubescens,62.7,22.7
astragalus austiniae,69.9,29.9
astragalus australis,80,60
astragalus barrii,62,22
astragalus beathii,80.3,40.3
astragalus beatleyae,69.9,29.9
astragalus beckwithii,80,60
astragalus beckwithii var. beckwithii,68.6,28.6
astragalus beckwithii var. purpureus,68.6,28.6
astragalus beckwithii var. sulcatus,64.4,24.4
astragalus beckwithii var. weiserensis,80,60
astragalus bernardinus,69.9,29.9
astragalus bibullatus,77.6,37.6
astragalus bicristatus,79.4,39.4
astragalus bisulcatus,80,60
astragalus bisulcatus var. bisulcatus,62,22
astragalus bisulcatus var. haydenianus,62,22
astragalus bisulcatus var. major,62,22
astragalus bisulcatus var. nevadensis,69.9,29.9
astragalus bodinii,80,60
astragalus bolanderi,69.9,29.9
astragalus bourgovii,80,60
astragalus brandegeei,68.6,28.6
astragalus brauntonii,79.4,39.4
astragalus brazoensis,84.8,44.8
astragalus breweri,79.4,39.4
astragalus californicus,68.4,28.4
astragalus callithrix,68.6,28.6
astragalus calycosus,62,22
astragalus calycosus var. calycosus,62,22
astragalus calycosus var. monophyllidius,68.6,28.6
astragalus calycosus var. scaposus,68.6,28.6
astragalus camptopus,64.4,24.4
astragalus canadensis,80,60
astragalus canadensis var. brevidens,80,60
astragalus canadensis var. canadensis,80,60
astragalus canadensis var. mortonii,80,60
astragalus caricinus,68.3,28.3
astragalus casei,69.9,29.9
astragalus castaneiformis,80.3,40.3
astragalus castetteri,73.4,33.4
astragalus ceramicus,62,22
astragalus ceramicus var. apus,62.7,22.7
astragalus ceramicus var. ceramicus,68.6,28.6
astragalus ceramicus var. filifolius,62,22
astragalus cerussatus,65.1,25.1
astragalus chamaeleuce,62,22
astragalus chamaeleuce var. chamaeleuce,62,22
astragalus chamaeleuce var. laccoliticus,68.6,28.6
astragalus chamaemeniscus,68.6,28.6
astragalus chinensis,64.4,24.4
astragalus chloodes,68.6,28.6
astragalus chuskanus,73.4,33.4
astragalus cibarius,62,22
astragalus cicer,80,60
astragalus cimae,69.9,29.9
astragalus cimae var. cimae,69.9,29.9
astragalus cimae var. sufflatus,79.4,39.4
astragalus clarianus,79.4,39.4
astragalus clevelandii,79.4,39.4
astragalus cobrensis,73.4,33.4
astragalus cobrensis var. cobrensis,73.4,33.4
astragalus cobrensis var. maguirei,73.4,33.4
astragalus coccineus,69.9,29.9
astragalus collinus,80,60
astragalus collinus var. collinus,80,60
astragalus collinus var. laurentii,68.4,28.4
astragalus coltonii,62,22
astragalus coltonii var. coltonii,68.6,28.6
astragalus coltonii var. moabensis,62,22
astragalus columbianus,68.3,28.3
astragalus concordius,68.6,28.6
astragalus congdonii,79.4,39.4
astragalus conjunctus,68.3,28.3
astragalus conjunctus var. conjunctus,68.4,28.4
astragalus conjunctus var. rickardii,68.3,28.3
astragalus consobrinus,68.6,28.6
astragalus contortuplicatus,67.9,27.9
astragalus convallarius,62,22
astragalus convallarius var. convallarius,62,22
astragalus convallarius var. finitimus,68.6,28.6
astragalus convallarius var. margaretiae,69.9,29.9
astragalus convallarius var. scopulorum,65.1,25.1
astragalus cottonii,68.3,28.3
astragalus crassicarpus,80,60
astragalus crassicarpus var. berlandieri,84.8,44.8
astragalus crassicarpus var. cavus,73.4,33.4
astragalus crassicarpus var. crassicarpus,80,60
astragalus crassicarpus var. paysonii,62,22
astragalus crassicarpus var. trichocalyx,84.8,44.8
astragalus cremnophylax,80.3,40.3
astragalus cremnophylax var. cremnophylax,80.3,40.3
astragalus cremnophylax var. hevronii,80.3,40.3
astragalus cremnophylax var. myriorrhaphis,80.3,40.3
astragalus cronquistii,68.6,28.6
astragalus crotalariae,79.4,39.4
astragalus curtipes,79.4,39.4
astragalus curvicarpus,68.4,28.4
astragalus curvicarpus var. brachycodon,68.4,28.4
astragalus curvicarpus var. curvicarpus,68.4,28.4
astragalus curvicarpus var. subglaber,68.4,28.4
astragalus cusickii,68.3,28.3
astragalus cusickii var. cusickii,68.3,28.3
astragalus cusickii var. flexilipes,64.4,24.4
astragalus cusickii var. packardiae,64.4,24.4
astragalus cusickii var. sterilis,68.4,28.4
astragalus cyaneus,73.4,33.4
astragalus cymboides,68.6,28.6
astragalus deanei,79.4,39.4
astragalus debequaeus,65.1,25.1
astragalus desereticus,68.6,28.6
astragalus desperatus,68.6,28.6
astragalus desperatus var. conspectus,68.6,28.6
astragalus desperatus var. desperatus,68.6,28.6
astragalus desperatus var. neeseae,68.6,28.6
astragalus desperatus var. petrophilus,68.6,28.6
astragalus deterior,65.1,25.1
astragalus detritalis,68.6,28.6
astragalus diaphanus,68.3,28.3
astragalus didymocarpus,69.9,29.9
astragalus didymocarpus var. didymocarpus,69.9,29.9
astragalus didymocarpus var. dispermus,69.9,29.9
astragalus didymocarpus var. milesianus,79.4,39.4
astragalus didymocarpus var. obispoensis,79.4,39.4
astragalus distortus,71.8,31.8
astragalus distortus var. distortus,71.8,31.8
astragalus distortus var. engelmannii,84.8,44.8
astragalus diversifolius,62,22
astragalus douglasii,79.4,39.4
astragalus douglasii var. douglasii,79.4,39.4
astragalus douglasii var. parishii,79.4,39.4
astragalus douglasii var. perstrictus,79.4,39.4
astragalus drabelliformis,62,22
astragalus drummondii,80,60
astragalus duchesnensis,68.6,28.6
astragalus eastwoodiae,68.6,28.6
astragalus egglestonii,73.4,33.4
astragalus emoryanus,68.6,28.6
astragalus emoryanus var. emoryanus,68.6,28.6
astragalus emoryanus var. terlinguensis,84.8,44.8
astragalus endopterus,80.3,40.3
astragalus ensiformis,68.6,28.6
astragalus ensiformis var. ensiformis,68.6,28.6
astragalus ensiformis var. gracilior,68.6,28.6
astragalus episcopus,68.6,28.6
astragalus episcopus var. episcopus,68.6,28.6
astragalus episcopus var. lancearius,68.6,28.6
astragalus eremiticus,68.6,28.6
astragalus ertterae,79.4,39.4
astragalus eucosmus,80,60
astragalus eurekensis,68.6,28.6
astragalus eurylobus,69.9,29.9
astragalus falcatus,80,60
astragalus feensis,73.4,33.4
astragalus filipes,80,60
astragalus flavus,62,22
astragalus flexuosus,80,60
astragalus flexuosus var. diehlii,68.6,28.6
astragalus flexuosus var. flexuosus,80,60
astragalus flexuosus var. greenei,73.4,33.4
astragalus fucatus,68.6,28.6
astragalus funereus,69.9,29.9
astragalus gambelianus,68.4,28.4
astragalus geyeri,62,22
astragalus geyeri var. geyeri,62,22
astragalus geyeri var. triquetrus,69.9,29.9
astragalus gibbsii,69.9,29.9
astragalus giganteus,84.8,44.8
astragalus gilensis,73.4,33.4
astragalus gilmanii,69.9,29.9
astragalus gilviflorus,80,60
astragalus gilviflorus var. gilviflorus,80,60
astragalus gilviflorus var. purpureus,62,22
astragalus glycyphyllos,80,60
astragalus gracilis,62,22
astragalus grayi,62,22
astragalus gypsodes,84.8,44.8
astragalus hallii,68.6,28.6
astragalus hallii var. fallax,68.6,28.6
astragalus hallii var. hallii,73.4,33.4
astragalus hamiltonii,68.6,28.6
astragalus hamosus,74.2,34.2
astragalus harrisonii,68.6,28.6
astragalus hartwegii,80.3,40.3
astragalus holmgreniorum,68.6,28.6
astragalus hoodianus,68.3,28.3
astragalus hornii,68.6,28.6
astragalus howellii,68.3,28.3
astragalus humillimus,73.4,33.4
astragalus humistratus,68.6,28.6
astragalus humistratus var. crispulus,73.4,33.4
astragalus humistratus var. hosackiae,73.4,33.4
astragalus humistratus var. humistratus,84.8,44.8
astragalus humistratus var. humivagans,68.6,28.6
astragalus humistratus var. sonorae,73.4,33.4
astragalus humistratus var. tenerrimus,80.3,40.3
astragalus hyalinus,62,22
astragalus hypoxylus,80.3,40.3
astragalus inflexus,68.3,28.3
astragalus insularis,79.4,39.4
astragalus insularis var. harwoodii,79.4,39.4
astragalus inversus,79.4,39.4
astragalus inyoensis,69.9,29.9
astragalus iodanthus,68.6,28.6
astragalus iodanthus var. diaphanoides,68.4,28.4
astragalus iodanthus var. iodanthus,68.6,28.6
astragalus iodopetalus,73.4,33.4
astragalus iselyi,68.6,28.6
astragalus jaegerianus,79.4,39.4
astragalus jejunus,62,22
astragalus jejunus var. articulatus,62,22
astragalus jejunus var. jejunus,62,22
astragalus johannis-howellii,69.9,29.9
astragalus kentrophyta,80,60
astragalus kentrophyta var. coloradoensis,68.6,28.6
astragalus kentrophyta var. danaus,69.9,29.9
astragalus kentrophyta var. douglasii,68.3,28.3
astragalus kentrophyta var. elatus,62,22
astragalus kentrophyta var. jessiae,62,22
astragalus kentrophyta var. kentrophyta,80,60
astragalus kentrophyta var. neomexicanus,73.4,33.4
astragalus kentrophyta var. tegetarius,62,22
astragalus kentrophyta var. ungulatus,69.9,29.9
astragalus kerrii,73.4,33.4
astragalus knightii,73.4,33.4
astragalus lackschewitzii,62.7,22.7
astragalus laxmannii,80,60
astragalus laxmannii var. robustior,80,60
astragalus laxmannii var. tananaicus,80,60
astragalus layneae,69.9,29.9
astragalus leibergii,68.3,28.3
astragalus lemmonii,68.4,28.4
astragalus lentiformis,79.4,39.4
astragalus lentiginosus,80,60
astragalus lentiginosus var. albifolius,69.9,29.9
astragalus lentiginosus var. ambiguus,80.3,40.3
astragalus lentiginosus var. antonius,79.4,39.4
astragalus lentiginosus var. australis,84.8,44.8
astragalus lentiginosus var. borreganus,69.9,29.9
astragalus lentiginosus var. chartaceus,62,22
astragalus lentiginosus var. coachellae,79.4,39.4
astragalus lentiginosus var. diphysus,68.6,28.6
astragalus lentiginosus var. floribundus,68.4,28.4
astragalus lentiginosus var. fremontii,68.6,28.6
astragalus lentiginosus var. higginsii,84.8,44.8
astragalus lentiginosus var. idriensis,79.4,39.4
astragalus lentiginosus var. ineptus,79.4,39.4
astragalus lentiginosus var. kennedyi,69.9,29.9
astragalus lentiginosus var. kernensis,69.9,29.9
astragalus lentiginosus var. latus,69.9,29.9
astragalus lentiginosus var. lentiginosus,68.3,28.3
astragalus lentiginosus var. maricopae,80.3,40.3
astragalus lentiginosus var. micans,69.9,29.9
astragalus lentiginosus var. nigricalycis,79.4,39.4
astragalus lentiginosus var. oropedii,80.3,40.3
astragalus lentiginosus var. palans,68.6,28.6
astragalus lentiginosus var. piscinensis,79.4,39.4
astragalus lentiginosus var. pohlii,68.6,28.6
astragalus lentiginosus var. salinus,80,60
astragalus lentiginosus var. scorpionis,68.6,28.6
astragalus lentiginosus var. semotus,69.9,29.9
astragalus lentiginosus var. sesquimetralis,69.9,29.9
astragalus lentiginosus var. sierrae,79.4,39.4
astragalus lentiginosus var. stramineus,68.6,28.6
astragalus lentiginosus var. trumbullensis,80.3,40.3
astragalus lentiginosus var. variabilis,69.9,29.9
astragalus lentiginosus var. vitreus,68.6,28.6
astragalus lentiginosus var. wilsonii,80.3,40.3
astragalus lentiginosus var. yuccanus,80.3,40.3
astragalus leptaleus,62,22
astragalus leptocarpus,84.8,44.8
astragalus leucolobus,79.4,39.4
astragalus limnocharis,68.6,28.6
astragalus limnocharis var. limnocharis,68.6,28.6
astragalus limnocharis var. montii,68.6,28.6
astragalus lindheimeri,84.8,44.8
astragalus linifolius,65.1,25.1
astragalus loanus,68.6,28.6
astragalus lonchocarpus,68.6,28.6
astragalus lotiflorus,80,60
astragalus lutosus,68.6,28.6
astragalus lyallii,68.3,28.3
astragalus macrodon,79.4,39.4
astragalus magdalenae,79.4,39.4
astragalus magdalenae var. peirsonii,79.4,39.4
astragalus malacoides,68.6,28.6
astragalus malacus,68.4,28.4
astragalus megacarpus,62,22
astragalus michauxii,82.4,42.4
astragalus microcymbus,65.1,25.1
astragalus microcystis,80,60
astragalus micromerius,73.4,33.4
astragalus miguelensis,79.4,39.4
astragalus minthorniae,69.9,29.9
astragalus minthorniae var. minthorniae,69.9,29.9
astragalus minthorniae var. villosus,69.9,29.9
astragalus misellus,68.3,28.3
astragalus misellus var. misellus,68.4,28.4
astragalus misellus var. pauper,68.3,28.3
astragalus miser,80,60
astragalus miser var. crispatus,62.7,22.7
astragalus miser var. decumbens,62,22
astragalus miser var. hylophilus,62,22
astragalus miser var. miser,80,60
astragalus miser var. oblongifolius,62,22
astragalus miser var. praeteritus,62,22
astragalus miser var. serotinus,80,60
astragalus miser var. tenuifolius,62,22
astragalus missouriensis,80,60
astragalus missouriensis var. amphibolus,68.6,28.6
astragalus missouriensis var. humistratus,65.1,25.1
astragalus missouriensis var. mimetes,73.4,33.4
astragalus missouriensis var. missouriensis,80,60
astragalus moencoppensis,68.6,28.6
astragalus mohavensis,69.9,29.9
astragalus mohavensis var. hemigyrus,69.9,29.9
astragalus mohavensis var. mohavensis,69.9,29.9
astragalus mokiacensis,69.9,29.9
astragalus mollissimus,62,22
astragalus mollissimus var. bigelovii,84.8,44.8
astragalus mollissimus var. coryi,84.8,44.8
astragalus mollissimus var. earlei,84.8,44.8
astragalus mollissimus var. marcidus,84.8,44.8
astragalus mollissimus var. matthewsii,73.4,33.4
astragalus mollissimus var. mogollonicus,73.4,33.4
astragalus mollissimus var. mollissimus,62,22
astragalus mollissimus var. thompsoniae,62,22
astragalus molybdenus,62,22
astragalus monoensis,79.4,39.4
astragalus monumentalis,68.6,28.6
astragalus monumentalis var. cottamii,68.6,28.6
astragalus monumentalis var. monumentalis,68.6,28.6
astragalus mulfordiae,68.4,28.4
astragalus musiniensis,68.6,28.6
astragalus naturitensis,68.6,28.6
astragalus neglectus,80,60
astragalus nelsonianus,62,22
astragalus neomexicanus,73.4,33.4
astragalus nevinii,79.4,39.4
astragalus newberryi,68.6,28.6
astragalus newberryi var. aquarii,80.3,40.3
astragalus newberryi var. blyae,80.3,40.3
astragalus newberryi var. castoreus,68.6,28.6
astragalus newberryi var. escalantinus,68.6,28.6
astragalus newberryi var. newberryi,68.6,28.6
astragalus nidularius,68.6,28.6
astragalus nothoxys,73.4,33.4
astragalus nudisiliquus,68.4,28.4
astragalus nutans,79.4,39.4
astragalus nutriosensis,73.4,33.4
astragalus nuttallianus,68.6,28.6
astragalus nuttallianus var. austrinus,84.8,44.8
astragalus nuttallianus var. cedrosensis,79.4,39.4
astragalus nuttallianus var. imperfectus,68.6,28.6
astragalus nuttallianus var. macilentus,84.8,44.8
astragalus nuttallianus var. micranthiformis,68.6,28.6
